customer_id,first_name,last_name,email,phone,city,state,signup_date
1,Isaac,Bakshi,yash32@example.net,+918196001338,Kishanganj,Gujarat,2026-05-01
2,Oni,Kannan,zmall@example.org,+916542351161,Hapur,Punjab,2024-09-09
3,Caleb,Sharaf,radhakrishnanfarhan@example.net,09593103413,Nadiad,Himachal Pradesh,2025-06-30
4,Janya,Gaba,isha34@example.net,1928327648,Anantapur,Uttarakhand,2023-10-21
5,Veer,Balay,nandini41@example.org,5376724238,Bhimavaram,Maharashtra,2026-01-18
6,Mohini,Pathak,lakshitupadhyay@example.com,+910122691669,Dehri,Himachal Pradesh,2025-12-02
7,Advay,Contractor,harini14@example.com,+917048281489,Jamnagar,Kerala,2024-04-02
8,Aadi,Naik,hbahl@example.com,03039117182,Fatehpur,Nagaland,2024-04-08
9,Alka,Wable,ikakar@example.net,3465787133,Sonipat,Andhra Pradesh,2026-01-25
10,Victor,Kannan,bobaldaniel@example.org,+910518347382,Latur,Uttar Pradesh,2025-07-30
11,Niharika,Gupta,chatterjeeraagini@example.com,06701065133,Jorhat,Manipur,2024-02-29
12,Pahal,Goswami,turvi31@example.com,1080132677,Rewa,Arunachal Pradesh,2024-04-07
13,Ladli,Agate,ylanka@example.com,06872343098,Satara,Arunachal Pradesh,2023-10-12
14,Vansha,Thakkar,daksheshtrivedi@example.org,+911913619399,Udupi,Assam,2025-05-08
15,Diya,Lal,diptakhare@example.com,02475107991,Siwan,Gujarat,2025-09-19
16,Alka,Deo,ekapad35@example.com,+917849808412,Bhiwandi,Bihar,2025-12-02
17,Nachiket,Magar,shivansh53@example.net,4874016400,Bikaner,Rajasthan,2024-09-05
18,Neel,Sathe,handra@example.org,2805982620,Bharatpur,Uttar Pradesh,2023-09-26
19,Ishita,Kade,harshilpandya@example.net,09232260256,Shimoga,Goa,2026-07-20
20,Hritik,Raja,singhaltristan@example.org,05433036541,Etawah,Rajasthan,2025-09-25
21,Mugdha,Yadav,ayaan14@example.org,4019655698,Kharagpur,Odisha,2024-05-17
22,Aachal,Basu,hagarwal@example.net,3561595148,Alappuzha,Karnataka,2025-04-12
23,Chakrika,Datta,osharaghavan@example.net,2994680443,Adoni,Punjab,2026-05-09
24,Ekanta,Shroff,rsathe@example.org,7214895134,Davanagere,Chhattisgarh,2023-09-02
25,Chakradhar,Konda,dbora@example.com,9367632016,Belgaum,Uttar Pradesh,2026-07-12
26,Zarna,Shetty,krishjairaj@example.com,+917889579868,Kozhikode,Telangana,2025-08-02
27,Shivani,Lad,aradhanaverma@example.com,3471434558,Durgapur,Chhattisgarh,2024-07-20
28,Leela,Dua,devanshsachdeva@example.com,08760366909,Morena,Andhra Pradesh,2025-01-23
29,Chanchal,Ramakrishnan,vyohannan@example.net,9373467065,Dehradun,Uttarakhand,2025-07-22
30,Joshua,Walla,rameshavi@example.org,6272046537,Naihati,Tripura,2025-03-06
31,Arunima,Sama,finn70@example.net,0531003309,Mathura,Chhattisgarh,2025-07-31
32,Ishwar,Kamdar,xkunda@example.com,+919912419049,Sikar,Tamil Nadu,2024-05-30
