partner_id,partner_name,vehicle_type,rating,joining_date
1,Osha Pandey,Scooter,4.1,2023-08-02
2,Dayamai Jain,Van,4.2,2022-07-19
3,Lavanya Narasimhan,Scooter,4.6,2024-03-11
4,Azaan Vala,Mini Truck,4.0,2026-06-26
5,Qabil Kaul,Bike,4.9,2022-08-17
6,Chakradev Dutt,Bike,4.5,2022-08-06
7,Indira Bajwa,Scooter,4.3,2024-07-14
8,Kritika Magar,Bike,4.9,2023-12-21
9,Bhanumati Srinivasan,Scooter,4.1,2021-08-16
10,Aarav Dey,Scooter,4.9,2025-02-22
11,Meghana Mohan,Bike,5.0,2024-03-12
12,Watika Rattan,Van,4.7,2024-02-06
13,Shivani More,Scooter,4.9,2022-04-28
14,Saksham Rajan,Mini Truck,4.8,2024-07-09
15,Bahadurjit Kurian,Bike,3.9,2024-05-18
16,Arin Ray,Bike,4.9,2023-08-23
17,Divya Kannan,Mini Truck,3.9,2025-07-26
18,Baljiwan Raju,Van,4.8,2023-11-19
19,Quincy Shetty,Scooter,4.8,2025-04-27
20,Imaran Parmar,Van,3.9,2022-09-25
21,Udant Nagi,Bike,4.0,2023-04-26
22,Kamala Shukla,Van,4.5,2021-08-19
23,Jhalak Palla,Scooter,3.5,2022-07-03
24,Naveen Shere,Mini Truck,4.7,2025-01-30
25,Pooja Mistry,Scooter,3.8,2023-07-25
26,Dipta Mann,Van,4.7,2026-01-10
27,Maya Palla,Mini Truck,3.6,2023-12-18
28,Radhika Kota,Bike,3.8,2024-02-08
29,Adweta Master,Scooter,4.2,2023-06-13
30,Aarini Bora,Scooter,3.5,2024-02-29
31,Meghana Konda,Van,3.9,2023-08-18
32,Anya Seshadri,Mini Truck,4.9,2023-12-28
33,Anamika Rout,Mini Truck,4.4,2023-10-23
34,Onveer Dhingra,Bike,3.9,2023-06-23
35,Falguni Tella,Mini Truck,4.5,2025-02-20
36,Vansha Kamdar,Bike,4.5,2026-06-18
37,Harish Krish,Van,4.0,2022-11-27
38,Abhiram Sehgal,Van,4.5,2022-08-31
39,Oscar Contractor,Mini Truck,4.5,2025-08-21
40,Varenya Narain,Mini Truck,4.1,2024-02-17
41,Reyansh Mangat,Scooter,3.8,2025-01-28
42,Gayathri Sodhi,Scooter,4.2,2026-07-19
43,Jeremiah Barad,Van,4.6,2023-08-24
44,Brijesh Mittal,Mini Truck,4.1,2023-12-07
45,Daksha Raj,Van,4.6,2022-02-10
46,Udant Bhagat,Scooter,4.6,2021-10-19
47,Ishani Chhabra,Bike,4.3,2022-09-22
48,Samar Shenoy,Mini Truck,3.6,2024-05-26
49,Ishani Wadhwa,Bike,3.6,2024-11-23
50,Ganga Nazareth,Scooter,4.4,2025-07-29
51,Qushi Brar,Scooter,3.7,2026-06-12
52,Ekapad Lal,Van,3.7,2024-08-19
53,Ranbir Lad,Scooter,4.6,2024-05-07
54,Lipika Kant,Van,3.6,2022-04-14
55,Udant Prabhakar,Van,4.7,2021-12-22
56,Chaman Goswami,Van,3.7,2023-03-09
57,Nakul Deshmukh,Van,4.2,2021-11-07
58,Robert Mukherjee,Bike,4.3,2025-06-16
59,Qadim Lanka,Mini Truck,4.6,2025-01-09
60,Hritik Bahl,Van,3.9,2024-02-16
61,Shravya Sagar,Bike,4.6,2025-11-09
62,Ayaan Bali,Bike,3.6,2026-04-06
63,Lohit Mand,Mini Truck,4.6,2024-10-23
64,Michael Chakraborty,Bike,4.9,2025-09-16
65,Bhavika Bhatt,Bike,5.0,2025-07-12
66,Raghav Barad,Van,3.5,2024-02-19
67,Eiravati Bhardwaj,Van,3.8,2022-11-20
68,Jeevika Batta,Scooter,4.6,2022-12-15
69,Avni Sami,Van,4.1,2024-11-21
70,Pratyush Sen,Van,4.2,2024-06-06
71,Rushil Iyer,Van,4.1,2022-09-13
72,Vivaan Andra,Scooter,4.5,2022-09-22
73,Krish Narayanan,Mini Truck,3.7,2024-12-23
74,Tanveer Jayaraman,Van,4.3,2021-08-25
75,Anthony Kanda,Scooter,4.8,2023-03-30
76,Nilima Sidhu,Bike,5.0,2025-04-26
77,Jason Sangha,Van,4.5,2025-06-12
78,Advaith Sarma,Van,4.3,2025-03-13
79,Vanya Palan,Scooter,3.9,2024-03-31
80,Dakshesh Ghose,Mini Truck,3.7,2023-12-06
81,Shivansh Bhalla,Scooter,4.9,2022-03-26
82,Vihaan Kuruvilla,Bike,3.5,2025-09-18
83,Wahab Balakrishnan,Van,4.4,2023-05-30
84,Karan Batra,Bike,3.9,2022-08-24
85,Tara Bir,Bike,3.7,2026-07-06
86,Gavin Sha,Bike,4.2,2022-12-14
87,Kevin Master,Bike,3.9,2022-01-03
88,Dalbir Sarna,Bike,4.1,2025-01-30
89,Turvi Chaudry,Scooter,4.3,2025-08-13
90,Ekani Lad,Bike,3.7,2025-02-01
91,Qadim Lalla,Mini Truck,3.9,2021-12-28
92,Jagvi Karan,Mini Truck,4.4,2026-02-17
93,Mitesh Singh,Mini Truck,3.9,2022-10-29
94,Yashasvi Bhatt,Scooter,5.0,2023-02-04
95,Edhitha Baria,Scooter,4.1,2026-07-17
96,Lekha Ramesh,Mini Truck,3.6,2026-02-08
97,Aachal Tripathi,Scooter,4.4,2022-10-27
98,Vedika Krish,Van,4.3,2023-02-28
99,Faraj Grewal,Bike,5.0,2022-05-31
100,Frado Chadha,Van,4.7,2021-12-19
